movieId,title,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,Toy Story: Um Mundo de Aventuras (1995),0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,Dois Velhos Mais Rabugentos (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Falando de Amor (1995),0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5,O Pai da Noiva II (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Fogo Contra Fogo (1995),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,Sabrina (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Tom e Huck: Em Busca do Grande Tesouro (1995),0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Morte Súbita (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,007 Contra GoldenEye (1995),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,Meu Querido Presidente (1995),0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12,"Drácula: Morto, mas Feliz (1995)",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Balto (1995),0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Nixon (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,A Ilha da Garganta Cortada (1995),1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,Cassino (1995),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Razão e Sensibilidade (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18,Grande Hotel (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Ace Ventura 2: Um Maluco na África (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Assalto sobre Trilhos (1995),1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
21,O Nome do Jogo (1995),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22,Copycat - A Vida Imita a Morte (1995),0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23,Assassinos (1995),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
24,Energia Pura (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
25,Despedida em Las Vegas (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
26,Othello (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
